Title,URL,Scraped_At,Description,Cover_Image_URL,OS_Minimum,CPU_Minimum,RAM_Minimum,GPU_Minimum,Storage_Minimum,OS_Recommended,CPU_Recommended,RAM_Recommended,GPU_Recommended,Storage_Recommended
"A Game For You, Josh","https://www.pcgamingwiki.com/wiki/A_Game_For_You,_Josh",2026-05-25T11:25:58.585020,N/A,https://thumbnails.pcgamingwiki.com/d/dc/A_Game_For_You%2C_Josh_cover.jpg/600px-A_Game_For_You%2C_Josh_cover.jpg,7,1.8 GHz Dual Core,4 GB,Integrated graphics,140 MB,N/A,N/A,N/A,N/A,N/A
A Game of Changes,https://www.pcgamingwiki.com/wiki/A_Game_of_Changes,2026-05-25T11:26:03.307366,N/A,https://thumbnails.pcgamingwiki.com/9/9d/A_Game_of_Changes_cover.jpg/600px-A_Game_of_Changes_cover.jpg,7,Dual-core processor,4 GB,Intel HD4000 or better,80 MB,N/A,2.0 GHz Dual Core,N/A,Dedicated graphics card,N/A
A Game of Dwarves,https://www.pcgamingwiki.com/wiki/A_Game_of_Dwarves,2026-05-25T11:26:09.435666,N/A,https://thumbnails.pcgamingwiki.com/a/a9/A_Game_of_Dwarves_cover.jpg/600px-A_Game_of_Dwarves_cover.jpg,Vista,Dual Core 2.4 GHz,4 GB,Nvidia GeForce 8000AMD Radeon 2000DirectX 10 compatibleShader model 4.0 support,3 GB,7,N/A,N/A,N/A,N/A
A Game of Thrones - Genesis,https://www.pcgamingwiki.com/wiki/A_Game_of_Thrones_-_Genesis,2026-05-25T11:26:14.943886,N/A,https://thumbnails.pcgamingwiki.com/b/bf/A_Game_of_Thrones_-_Genesis_cover.jpg/600px-A_Game_of_Thrones_-_Genesis_cover.jpg,XP SP2,AMD/Intel dual-core 2.2 GHz,1024 MB (XP) / 2048 MB (Vista/7),ATI Radeon X1600 XTIntel HDNvidia GeForce 6600 GT256 MB of VRAMDirectX 9 compatibleShader model 3.0 support,10 GB,"Vista SP1, 7",N/A,N/A,N/A,N/A
A Game of Thrones: The Board Game - Digital Edition,https://www.pcgamingwiki.com/wiki/A_Game_of_Thrones:_The_Board_Game_-_Digital_Edition,2026-05-25T11:26:19.484861,"A Game of Thrones: The Board Game - Digital Edition is a singleplayer and multiplayer bird's-eye view board, strategy and TBS game in the Game of Thrones series.",https://images.pcgamingwiki.com/7/78/A_Game_of_Thrones_The_Board_Game_-_Digital_Edition_cover.jpg,"7, 8.1",Intel Pentium DAMD Athlon 64 X2,2 GB,OpenGL 3 compatibleDirectX 11 compatible,1 GB,10,Intel Core 2 Duo E6600AMD Athlon 64 X2 5000+,4 GB,N/A,N/A
A Gay Love Story About Gay Love,https://www.pcgamingwiki.com/wiki/A_Gay_Love_Story_About_Gay_Love,2026-05-25T11:26:24.456463,A Gay Love Story About Gay Love is a RPG developed by Sigyaad Team.,https://images.pcgamingwiki.com/3/3c/A_Gay_Love_Story_About_Gay_Love_cover.jpg,7,Dual Core,500 MB,Integrated HD graphics,200 MB,N/A,N/A,N/A,N/A,N/A
A Gay's Life,https://www.pcgamingwiki.com/wiki/A_Gay%27s_Life,2026-05-25T11:26:28.899436,N/A,https://thumbnails.pcgamingwiki.com/a/ae/A_Gay%27s_Life_cover.jpg/600px-A_Gay%27s_Life_cover.jpg,XP,N/A,512 MB,512 MB VRAM,N/A,"Vista, 7, 8, 10",2Ghz or faster processor,2048 MB,1 GB VRAM,N/A
A Gentlemanly Adventure,https://www.pcgamingwiki.com/wiki/A_Gentlemanly_Adventure,2026-05-25T11:26:34.483458,N/A,https://thumbnails.pcgamingwiki.com/2/2c/A_Gentlemanly_Adventure_cover.jpg/600px-A_Gentlemanly_Adventure_cover.jpg,7,N/A,500 MB,N/A,500 MB,N/A,N/A,N/A,N/A,N/A
A Ghostly Tale,https://www.pcgamingwiki.com/wiki/A_Ghostly_Tale,2026-05-25T11:26:39.828843,N/A,https://thumbnails.pcgamingwiki.com/a/a1/A_Ghostly_Tale_cover.jpg/600px-A_Ghostly_Tale_cover.jpg,N/A,2.5 GHz,1 GB,DirectX 9.0 compatible,88 MB,N/A,N/A,N/A,N/A,N/A
A Giant Problem,https://www.pcgamingwiki.com/wiki/A_Giant_Problem,2026-05-25T11:26:46.495885,N/A,https://thumbnails.pcgamingwiki.com/0/07/A_Giant_Problem_cover.jpg/600px-A_Giant_Problem_cover.jpg,7 SP1,Intel Core i5-4590AMD FX 8350 equivalent,4 GB,Nvidia GeForce GTX 970AMD Radeon R9 290 equivalent,N/A,8.1,AMD FX 8350 equivalent,N/A,Nvidia GeForce GTX 1060AMD Radeon RX 480 equivalent,N/A
A Girls Fabric Face,https://www.pcgamingwiki.com/wiki/A_Girls_Fabric_Face,2026-05-25T11:26:51.796313,N/A,https://thumbnails.pcgamingwiki.com/9/99/A_Girls_Fabric_Face_cover.jpg/600px-A_Girls_Fabric_Face_cover.jpg,7,Intel Core i5 + anything post 2012 will suffice,4 GB,Anything of fair performance post 2012 should sufficeDirectX 11 compatible,1 GB,N/A,Intel Core i5,4 MB,Anything of fair performance post 2015 should suffice,1 MB
A Glider's Journey,https://www.pcgamingwiki.com/wiki/A_Glider%27s_Journey,2026-05-25T11:26:57.438395,N/A,https://images.pcgamingwiki.com/5/51/A_Glider%27s_Journey_cover.jpg,7,Intel Core i3 2.0 GHz,3 GB,Nvidia GeForce GTX 750DirectX 11 compatible,2 GB,10,Intel Core i3 2.5 GHz,6 GB,Nvidia GeForce GTX 1050 (Mobile),N/A
A God-Like Backhand!,https://www.pcgamingwiki.com/wiki/A_God-Like_Backhand!,2026-05-25T11:27:03.641892,N/A,https://thumbnails.pcgamingwiki.com/9/9d/A_God-Like_Backhand%21_cover.jpg/600px-A_God-Like_Backhand%21_cover.jpg,7,Intel,4 GB,Nvidia GeForce 970DirectX 12 compatible,1 GB,"8, 10",N/A,8 GB,Nvidia GeForce 1080,N/A
A Golden Wake,https://www.pcgamingwiki.com/wiki/A_Golden_Wake,2026-05-25T11:27:08.554803,A Golden Wake is a singleplayer flip screen and side view adventure game.,https://images.pcgamingwiki.com/2/2a/A_Golden_Wake_-_cover.jpg,Me,Intel Pentium 700 MHz,64 MB,DirectX 5.2 compatible,350 MB,N/A,N/A,N/A,N/A,N/A
A Goo Adventure,https://www.pcgamingwiki.com/wiki/A_Goo_Adventure,2026-05-25T11:27:14.429855,N/A,https://thumbnails.pcgamingwiki.com/b/ba/A_Goo_Adventure_cover.jpg/600px-A_Goo_Adventure_cover.jpg,7,Intel Core i3,2 GB,Standard HD graphicsDirectX 9.0 compatible,100 MB,"8, 10",Intel Core i5,4 MB,Nvidia GeForce GTX 260AMD equivalent,250 MB
A Good Snowman Is Hard to Build,https://www.pcgamingwiki.com/wiki/A_Good_Snowman_Is_Hard_to_Build,2026-05-25T11:27:19.675468,N/A,https://images.pcgamingwiki.com/6/69/A_Good_Snowman_Is_Hard_To_Build_cover.jpg,7,N/A,1 GB,N/A,100 MB,N/A,N/A,2 GB,N/A,N/A
A Grande Bagunça Espacial - The Big Space Mess,https://www.pcgamingwiki.com/wiki/A_Grande_Bagun%C3%A7a_Espacial_-_The_Big_Space_Mess,2026-05-25T11:27:25.081585,N/A,https://thumbnails.pcgamingwiki.com/4/45/A_grande_bagun%C3%A7a_espacial_-_The_big_space_mess_cover.jpg/600px-A_grande_bagun%C3%A7a_espacial_-_The_big_space_mess_cover.jpg,7,Support for SSE2 instruction set.,N/A,"In general, any board manufactured from 2004 should workDirectX 9 compatibleShader model 2.0 support",2 GB,N/A,N/A,N/A,N/A,3 GB
A Grim Tale of Vices,https://www.pcgamingwiki.com/wiki/A_Grim_Tale_of_Vices,2026-05-25T11:27:29.972805,N/A,https://thumbnails.pcgamingwiki.com/f/f2/A_Grim_Tale_of_Vices_cover.jpg/600px-A_Grim_Tale_of_Vices_cover.jpg,7 SP1,Intel Core 2 Duo E5200,4 GB,Nvidia GeForce 9300 mGPUDirectX 10 compatible,2 GB,N/A,N/A,N/A,N/A,N/A
A Guidebook of Babel,https://www.pcgamingwiki.com/wiki/A_Guidebook_of_Babel,2026-05-25T11:27:35.997046,A Guidebook of Babel is a singleplayer bird's-eye view adventure game.,https://images.pcgamingwiki.com/e/e6/A_Guidebook_of_Babel_cover.jpg,7,1.6 GHz,4 GB,Intel HD Graphics 520,500 MB,10,Intel Core i7,8 GB,Nvidia GeForce GTX 950AMD Radeon RX 560,N/A
A Gummy's Life,https://www.pcgamingwiki.com/wiki/A_Gummy%27s_Life,2026-05-25T11:27:40.876801,N/A,https://thumbnails.pcgamingwiki.com/2/24/A_Gummy%27s_Life_cover.jpg/600px-A_Gummy%27s_Life_cover.jpg,7,Intel Core i3,2 GB,Nvidia GeForce GTX 740DirectX 11 compatible,1 GB,10,Intel Core i5-6500 3.2 GHz,4 GB,Nvidia GeForce GTX 960,N/A
A Hand in the Darkness,https://www.pcgamingwiki.com/wiki/A_Hand_in_the_Darkness,2026-05-25T11:27:45.392164,N/A,https://thumbnails.pcgamingwiki.com/d/d0/A_Hand_in_the_Darkness_cover.jpg/600px-A_Hand_in_the_Darkness_cover.jpg,XP,1 GHz,512 MB,DirectX Compatible Card,300 MB,Vista,N/A,N/A,N/A,N/A
A Handful of Keflings,https://www.pcgamingwiki.com/wiki/A_Handful_of_Keflings,2026-05-25T11:27:49.830634,N/A,https://thumbnails.pcgamingwiki.com/1/12/A_Handful_of_Keflings_cover.jpg/600px-A_Handful_of_Keflings_cover.jpg,7 SP1,Intel Core i5-4590,8 GB,Nvidia GeForce GTX 970AMD Radeon R9 290,1 GB,N/A,N/A,N/A,N/A,N/A
A Hat in Time,https://www.pcgamingwiki.com/wiki/A_Hat_in_Time,2026-05-25T11:27:53.960132,A Hat in Time is a singleplayer and multiplayer third-person platform game.,https://images.pcgamingwiki.com/0/05/A_Hat_in_Time_cover.png,"XP Professional x64 Edition, Vista",3.0 GHz,4 GB,DirectX 9.0c compatible,8 GB,"7, 8.1, 10",3.5 GHz,8 GB,N/A,N/A
A Haunting: Witching Hour,https://www.pcgamingwiki.com/wiki/A_Haunting:_Witching_Hour,2026-05-25T11:27:59.214982,N/A,https://thumbnails.pcgamingwiki.com/8/80/A_Haunting_-_Witching_Hour_cover.jpg/600px-A_Haunting_-_Witching_Hour_cover.jpg,7 SP1,Intel Core i5 4590AMD FX 8350 or greater,4 GB,Nvidia GeForce GTX 970AMD Radeon R9 290,4 GB,N/A,N/A,N/A,N/A,N/A
A Healer Only Lives Twice,https://www.pcgamingwiki.com/wiki/A_Healer_Only_Lives_Twice,2026-05-25T11:28:05.248229,N/A,https://images.pcgamingwiki.com/9/99/A_Healer_Only_Lives_Twice_cover.jpg,7,N/A,N/A,"Nvidia GeForce 400 series, or newerDirectX 11 compatible",250 MB,"8, 8.1",N/A,N/A,N/A,N/A
A Highland Song,https://www.pcgamingwiki.com/wiki/A_Highland_Song,2026-05-25T11:28:11.267972,A Highland Song is a singleplayer side view platform game.,https://images.pcgamingwiki.com/7/79/AHighlandSong_COVER.jpg,7,SSE2 instruction set support,8 GB,Nvidia Geforce GTX 660AMD Radeon HD 7850,3 GB,N/A,N/A,N/A,N/A,N/A
A Hole New World,https://www.pcgamingwiki.com/wiki/A_Hole_New_World,2026-05-25T11:28:15.782450,N/A,https://thumbnails.pcgamingwiki.com/d/d6/A_Hole_New_World_cover.jpg/600px-A_Hole_New_World_cover.jpg,XP SP3,1.60 GHz Intel Atom,1 GB,OpenGL 3.0 compatible,950 MB,N/A,N/A,N/A,N/A,N/A
A Horde Too Many,https://www.pcgamingwiki.com/wiki/A_Horde_Too_Many,2026-05-25T11:28:21.158350,N/A,https://thumbnails.pcgamingwiki.com/5/5e/A_Horde_Too_Many_cover.jpg/600px-A_Horde_Too_Many_cover.jpg,7 SP1,N/A,4 GB,Nvidia GeForce GTX 960DirectX 10 compatible,1049 MB,10,N/A,8 MB,Nvidia GeForce GTX 1060,N/A
A House of Many Doors,https://www.pcgamingwiki.com/wiki/A_House_of_Many_Doors,2026-05-25T11:28:26.397849,A House of Many Doors is a singleplayer RPG game.,https://images.pcgamingwiki.com/d/d2/A_House_of_Many_Doors_cover.jpg,"XP, Vista, 7, 8, 10",N/A,4 GB,DirectX 9.0 compatible,400 MB,N/A,2 GHz,N/A,512 MB of VRAM,N/A
A Juggler's Tale,https://www.pcgamingwiki.com/wiki/A_Juggler%27s_Tale,2026-05-25T11:28:32.194934,A Juggler's Tale is a singleplayer scrolling and side view adventure game.,https://images.pcgamingwiki.com/1/14/A_Juggler%27s_Tale_-_cover.jpg,7,Intel Core 2 Quad Q6600,4 GB,Nvidia GeForce GTX 660AMD Radeon HD 7870DirectX 11 compatible,3 GB,N/A,Intel Core i5-6600K,8 GB,Nvidia GeForce GTX 980AMD Radeon RX 5300,N/A
A Killer's Sorrow,https://www.pcgamingwiki.com/wiki/A_Killer%27s_Sorrow,2026-05-25T11:28:36.480876,N/A,https://thumbnails.pcgamingwiki.com/3/34/A_Killer%27s_Sorrow_cover.jpg/600px-A_Killer%27s_Sorrow_cover.jpg,XP,3 GHz,2 GB,Nvidia GeForce 8800AMD Radeon HD 5670 or equivalent video card (Dedicated GPU with 512MB or higher Video Memory(VRAM)),512 MB,7,N/A,N/A,Nvidia GeForce GTX 280ATI,N/A
A Kingdom for Keflings,https://www.pcgamingwiki.com/wiki/A_Kingdom_for_Keflings,2026-05-25T11:28:40.766022,N/A,https://images.pcgamingwiki.com/3/3c/A_Kingdom_for_Keflings_cover.jpg,"XP, Vista, 7",800 MHz,256 MB,OpenGL-compatible GPU32 MB of VRAM,N/A,N/A,N/A,N/A,N/A,N/A
A Kingdom of Flesh and Stone,https://www.pcgamingwiki.com/wiki/A_Kingdom_of_Flesh_and_Stone,2026-05-25T11:28:46.708444,N/A,https://thumbnails.pcgamingwiki.com/6/68/A_Kingdom_of_Flesh_and_Stone_cover.jpg/600px-A_Kingdom_of_Flesh_and_Stone_cover.jpg,10,2.4 Ghz quad core or higher,8 GB,2 gig non integrated/onboard video card,6 GB,N/A,3.0 Ghz quad core or higher,16 GB,4 gig non integrated/onboard video card,N/A
A Kiss for the Petals - Maidens of Michael,https://www.pcgamingwiki.com/wiki/A_Kiss_for_the_Petals_-_Maidens_of_Michael,2026-05-25T11:28:52.696320,N/A,https://thumbnails.pcgamingwiki.com/8/82/A_Kiss_For_The_Petals_-_Maidens_of_Michael_cover.jpg/600px-A_Kiss_For_The_Petals_-_Maidens_of_Michael_cover.jpg,7,Intel Pentium III 800.0 MHz,512 MB,DirectX or OpenGLDirectX 9.0 compatible,2 GB,N/A,Intel Pentium 4 1 GHz +,1024 MB,N/A,N/A
